Date,Individuals Tested - 14 Day Rolling Total,Individuals Tested - Daily Total,Individuals Positive - 14 Day Rolling Total,Individuals Positive - Daily Total,Pos Test Rate - 14,Pos Test Rate - Day
3/1/2020,,0,,0,#DIV/0!,#DIV/0!
3/2/2020,0,4,0,0,#DIV/0!,0
3/3/2020,4,1,0,0,0,0
3/4/2020,5,3,0,0,0,0
3/5/2020,8,7,0,0,0,0
3/6/2020,15,7,0,0,0,0
3/7/2020,22,7,0,4,0,0.571428571
3/8/2020,29,12,4,4,0.137931034,0.333333333
3/9/2020,41,17,8,5,0.195121951,0.294117647
3/10/2020,58,15,13,2,0.224137931,0.133333333
3/11/2020,73,16,15,2,0.205479452,0.125
3/12/2020,89,41,17,1,0.191011236,0.024390244
3/13/2020,130,68,18,6,0.138461538,0.088235294
3/14/2020,198,63,24,2,0.121212121,0.031746032
3/15/2020,261,67,26,1,0.099616858,0.014925373
3/16/2020,328,248,27,20,0.082317073,0.080645161
3/17/2020,572,275,47,22,0.082167832,0.08
3/18/2020,846,248,69,26,0.081560284,0.10483871
3/19/2020,1091,235,95,28,0.087076077,0.119148936
3/20/2020,1319,257,123,26,0.093252464,0.101167315
3/21/2020,1569,139,149,15,0.094964946,0.107913669
3/22/2020,1701,145,160,18,0.094062316,0.124137931
3/23/2020,1834,442,174,52,0.094874591,0.117647059
3/24/2020,2259,460,221,56,0.097830899,0.12173913
3/25/2020,2704,419,275,65,0.101701183,0.155131265
3/26/2020,3107,471,338,64,0.108786611,0.135881104
3/27/2020,3537,481,401,69,0.113372915,0.143451143
3/28/2020,3950,225,464,40,0.117468354,0.177777778
3/29/2020,4112,174,502,36,0.122081712,0.206896552
3/30/2020,4219,631,537,114,0.127281346,0.18066561
3/31/2020,4602,518,631,78,0.137114298,0.150579151
4/1/2020,4845,547,687,83,0.141795666,0.151736746
4/2/2020,5144,534,744,83,0.144634526,0.155430712
4/3/2020,5443,507,799,97,0.146794047,0.191321499
4/4/2020,5693,217,870,56,0.152819252,0.258064516
4/5/2020,5771,239,911,68,0.157858257,0.284518828
4/6/2020,5865,702,961,132,0.163853367,0.188034188
4/7/2020,6125,615,1041,117,0.169959184,0.190243902
4/8/2020,6280,577,1102,112,0.175477707,0.194107452
4/9/2020,6438,513,1149,114,0.178471575,0.222222222
4/10/2020,6480,655,1199,242,0.185030864,0.369465649
4/11/2020,6654,248,1372,75,0.206191764,0.302419355
4/12/2020,6677,192,1407,57,0.210723379,0.296875
4/13/2020,6695,677,1428,202,0.213293503,0.298375185
4/14/2020,6741,631,1516,156,0.224892449,0.247226624
4/15/2020,6854,665,1594,183,0.232564926,0.27518797
4/16/2020,6972,1412,1694,491,0.242971888,0.347733711
4/17/2020,7850,1452,2102,506,0.267770701,0.348484848
4/18/2020,8795,428,2511,176,0.285503127,0.411214953
4/19/2020,9006,412,2631,170,0.292138574,0.412621359
4/20/2020,9179,1343,2733,513,0.297744852,0.38198064
4/21/2020,9820,1290,3114,455,0.317107943,0.352713178
4/22/2020,10495,1394,3452,533,0.328918533,0.382352941
4/23/2020,11312,1448,3873,472,0.342379774,0.325966851
4/24/2020,12247,2121,4231,691,0.345472361,0.325789722
4/25/2020,13713,3476,4680,1289,0.341281995,0.370828539
4/26/2020,16941,645,5894,164,0.347913346,0.254263566
4/27/2020,17394,1988,6001,568,0.345004024,0.285714286
4/28/2020,18705,2337,6367,649,0.34039027,0.277706461
4/29/2020,20411,2384,6860,514,0.336093283,0.215604027
4/30/2020,22130,2341,7191,443,0.324943516,0.18923537
5/1/2020,23059,1879,7143,400,0.309770588,0.212879191
5/2/2020,23486,649,7037,174,0.299625309,0.268104777
5/3/2020,23707,620,7035,127,0.296747796,0.20483871
5/4/2020,23915,2355,6992,604,0.292368806,0.256475584
5/5/2020,24927,2532,7083,512,0.284149717,0.20221169
5/6/2020,26169,2181,7140,373,0.272841912,0.171022467
5/7/2020,26956,2099,6980,367,0.258940496,0.174845164
5/8/2020,27607,2035,6875,342,0.249031043,0.168058968
5/9/2020,27521,860,6526,120,0.237128011,0.139534884
5/10/2020,24905,822,5357,118,0.21509737,0.143552311
5/11/2020,25082,2727,5311,447,0.211745475,0.163916392
5/12/2020,25821,2780,5190,406,0.200999187,0.146043165
5/13/2020,26264,2396,4947,313,0.188356686,0.130634391
5/14/2020,26276,2475,4746,352,0.180621099,0.142222222
5/15/2020,26410,2270,4655,317,0.176258993,0.139647577
5/16/2020,26801,1138,4572,151,0.17059065,0.132688928
5/17/2020,27290,1068,4549,124,0.166691096,0.116104869
5/18/2020,27738,4192,4546,797,0.163890691,0.190124046
5/19/2020,29575,3988,4739,647,0.160236686,0.16223671
5/20/2020,31031,3276,4874,444,0.157068738,0.135531136
5/21/2020,32126,2938,4945,477,0.15392517,0.162355344
5/22/2020,32965,3291,5055,306,0.153344456,0.092980857
5/23/2020,34221,834,5019,119,0.146664329,0.142685851
5/24/2020,34195,987,5018,103,0.1467466,0.104356636
5/25/2020,34360,942,5003,87,0.145605355,0.092356688
5/26/2020,32575,4252,4643,468,0.142532617,0.110065851
5/27/2020,34047,3946,4705,397,0.138191324,0.100608211
5/28/2020,35597,3874,4789,441,0.134533809,0.113835829
5/29/2020,36996,3663,4878,360,0.131852092,0.098280098
5/30/2020,38389,1235,4921,123,0.128187762,0.099595142
5/31/2020,38486,1244,4893,77,0.127137141,0.061897106
6/1/2020,38662,4169,4846,489,0.125342714,0.117294315
6/2/2020,38639,4136,4538,338,0.117446104,0.08172147
6/3/2020,38787,3841,4229,388,0.109031376,0.101015361
6/4/2020,39352,3659,4173,344,0.106042895,0.094014758
6/5/2020,40073,3593,4040,362,0.100816011,0.100751461
6/6/2020,40375,1264,4096,92,0.101448916,0.07278481
6/7/2020,40805,1222,4069,58,0.099718172,0.047463175
6/8/2020,41040,4546,4024,483,0.098050682,0.10624725
6/9/2020,44644,3993,4420,319,0.099005465,0.079889807
6/10/2020,44385,3810,4271,332,0.096226203,0.087139108
6/11/2020,44249,3556,4206,271,0.095052996,0.076209224
6/12/2020,43931,3776,4036,274,0.091871344,0.072563559
6/13/2020,44044,1294,3950,79,0.089683044,0.061051005
6/14/2020,44103,1261,3906,58,0.088565404,0.045995242
6/15/2020,44120,4695,3887,448,0.088100635,0.09542066
6/16/2020,44646,4379,3846,371,0.086144335,0.084722539
6/17/2020,44889,4160,3879,378,0.086413152,0.090865385
6/18/2020,45208,3999,3869,350,0.085582198,0.08752188
6/19/2020,45548,4658,3875,461,0.085075086,0.098969515
6/20/2020,46613,1633,3974,105,0.085255186,0.064298836
6/21/2020,46982,1417,3987,82,0.084862288,0.057868737
6/22/2020,47177,5873,4011,561,0.085020243,0.09552188
6/23/2020,48504,5608,4089,492,0.084302326,0.087731812
6/24/2020,50119,5123,4262,428,0.08503761,0.083544798
6/25/2020,51432,5256,4358,482,0.08473324,0.091704718
6/26/2020,53132,5014,4569,457,0.085993375,0.091144795
6/27/2020,54370,1929,4752,161,0.08740114,0.083462934
6/28/2020,55005,1883,4834,171,0.08788292,0.090812533
6/29/2020,55627,6942,4947,713,0.088931634,0.102708153
6/30/2020,57874,5838,5212,692,0.090057712,0.118533744
7/1/2020,59333,5479,5533,584,0.093253333,0.106588794
7/2/2020,60652,6214,5739,694,0.094621777,0.111683296
7/3/2020,62867,2297,6083,248,0.096759826,0.107966913
7/4/2020,60506,1179,5870,100,0.097015172,0.084817642
7/5/2020,60052,1978,5865,202,0.097665357,0.102123357
7/6/2020,60613,7830,5985,774,0.098741194,0.098850575
7/7/2020,62570,7263,6198,731,0.099057056,0.100647116
7/8/2020,64225,6592,6437,817,0.100225769,0.123938107
7/9/2020,65694,6113,6826,774,0.103905988,0.12661541
7/10/2020,66551,6269,7118,566,0.106955568,0.090285532
7/11/2020,67806,2425,7227,213,0.106583488,0.087835052
7/12/2020,68302,2102,7279,203,0.106570818,0.096574691
7/13/2020,68521,7977,7311,786,0.106697217,0.098533283
7/14/2020,69556,6862,7384,633,0.106159066,0.092247158
7/15/2020,70580,6466,7325,661,0.103782941,0.102227034
7/16/2020,71567,5809,7402,562,0.103427557,0.096746428
7/17/2020,71162,5708,7270,518,0.102161266,0.090749825
7/18/2020,74573,2195,7540,153,0.10110898,0.069703872
7/19/2020,75589,1717,7593,134,0.100451124,0.078043098
7/20/2020,75328,7670,7525,747,0.099896453,0.097392438
7/21/2020,75168,6453,7498,584,0.099749894,0.090500542
7/22/2020,74358,5923,7351,591,0.098859571,0.099780517
7/23/2020,73689,5485,7125,589,0.096690144,0.107383774
7/24/2020,73061,5785,6940,555,0.094989119,0.09593777
7/25/2020,72577,1826,6929,136,0.095471017,0.074479737
7/26/2020,71978,1678,6852,147,0.095195754,0.087604291
7/27/2020,71554,7091,6796,737,0.09497722,0.103934565
7/28/2020,70668,6141,6747,590,0.095474614,0.096075558
7/29/2020,69947,5639,6704,605,0.095843996,0.107288526
7/30/2020,69120,5090,6648,629,0.096180556,0.123575639
7/31/2020,68401,5432,6715,541,0.098171079,0.099594993
8/1/2020,68125,1713,6738,138,0.098906422,0.08056042
8/2/2020,67643,1715,6723,131,0.099389442,0.07638484
8/3/2020,67641,8080,6720,839,0.099348029,0.103836634
8/4/2020,68051,6948,6812,686,0.100101395,0.098733448
8/5/2020,68546,6158,6914,536,0.100866571,0.087041247
8/6/2020,68781,5657,6859,527,0.099722307,0.093158918
8/7/2020,68953,6219,6797,540,0.098574391,0.08683068
8/8/2020,69387,1884,6782,186,0.097741652,0.098726115
8/9/2020,69445,1765,6832,156,0.098380013,0.088385269
8/10/2020,69532,5871,6841,652,0.098386354,0.111054335
8/11/2020,68312,5764,6756,548,0.098899169,0.095072866
8/12/2020,67935,7245,6714,700,0.098829764,0.096618357
8/13/2020,69541,6056,6809,687,0.097913461,0.113441215
8/14/2020,70507,6593,6867,680,0.097394585,0.103139694
8/15/2020,71668,2494,7006,206,0.097756321,0.082598236
8/16/2020,72449,2204,7074,184,0.097641099,0.083484574
8/17/2020,72938,7755,7127,1025,0.097713126,0.132172792
8/18/2020,72613,6745,7313,774,0.100711994,0.114751668
8/19/2020,72410,6390,7401,794,0.10220964,0.124256651
8/20/2020,72642,6119,7659,739,0.105434872,0.120771368
8/21/2020,73104,6231,7871,785,0.107668527,0.125982988
8/22/2020,73116,2263,8116,285,0.111001696,0.125939019
8/23/2020,73495,2321,8215,326,0.111776311,0.1404567
8/24/2020,74051,8667,8385,1448,0.113232772,0.167070497
8/25/2020,76847,7665,9181,1231,0.119471157,0.16060013
8/26/2020,78748,6888,9864,1248,0.125260324,0.181184669
8/27/2020,78391,7262,10412,1211,0.13282137,0.166758469
8/28/2020,79597,7526,10936,1199,0.137392113,0.159314377
8/29/2020,80530,2445,11455,299,0.142245126,0.122290389
8/30/2020,80481,2353,11548,280,0.143487283,0.118997025
8/31/2020,80630,9631,11644,1183,0.14441275,0.12283252
9/1/2020,82506,8562,11802,965,0.143044142,0.112707311
9/2/2020,84323,8189,11993,1147,0.142226913,0.140065942
9/3/2020,86122,7754,12346,927,0.143354776,0.119551199
9/4/2020,87757,7506,12534,905,0.142826213,0.12057021
9/5/2020,89032,2507,12654,239,0.142128673,0.095333067
9/6/2020,89276,2597,12608,241,0.141224965,0.092799384
9/7/2020,89552,2153,12523,274,0.13984054,0.127264282
9/8/2020,83038,11795,11349,1236,0.136672367,0.104790165
9/9/2020,87168,8854,11354,898,0.130254222,0.101423086
9/10/2020,89134,7892,11004,859,0.123454574,0.108844399
9/11/2020,89764,8676,10652,914,0.118666726,0.105348087
9/12/2020,90914,2939,10367,229,0.114030842,0.077917659
9/13/2020,91408,2490,10297,244,0.112648783,0.097991968
9/14/2020,91545,11512,10261,1583,0.112086952,0.137508687
9/15/2020,93426,9662,10661,992,0.114111703,0.102670255
9/16/2020,94526,8210,10688,1032,0.11306942,0.125700365
9/17/2020,94547,8476,10573,984,0.11182798,0.116092496
9/18/2020,95269,8770,10630,1029,0.111578793,0.117331813
9/19/2020,96533,3232,10754,313,0.111402318,0.096844059
9/20/2020,97258,2648,10828,275,0.111332744,0.103851964
9/21/2020,97309,12444,10862,1403,0.111623796,0.112745098
9/22/2020,107600,11384,11991,1201,0.11144052,0.105498946
9/23/2020,107189,9681,11956,1043,0.111541296,0.107736804
9/24/2020,108016,9186,12101,922,0.112029699,0.100370128
9/25/2020,109310,8496,12164,904,0.111279846,0.106403013
9/26/2020,109130,2884,12154,279,0.111371758,0.096740638
9/27/2020,109075,2675,12204,247,0.111886317,0.092336449
9/28/2020,109260,12638,12207,1447,0.111724327,0.114495965
9/29/2020,110386,10262,12071,987,0.109352635,0.096180082
9/30/2020,110986,9869,12066,955,0.108716415,0.096767656
10/1/2020,112645,8630,11989,862,0.10643171,0.099884125
10/2/2020,112799,9030,11867,876,0.105204833,0.097009967
10/3/2020,113059,3238,11714,353,0.10360962,0.109017912
10/4/2020,113065,3213,11754,283,0.1039579,0.088079676
10/5/2020,113630,16661,11762,1644,0.103511397,0.098673549
10/6/2020,117847,16588,12003,1211,0.101852402,0.073004582
10/7/2020,123051,12829,12013,1239,0.097626188,0.096578065
