Date,Total Recovered - 14 Day Rolling Total,Total Recovered - Daily Total
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,1
2020-03-18,1,3
2020-03-19,4,4
2020-03-20,8,3
2020-03-21,11,2
2020-03-22,13,4
2020-03-23,17,4
2020-03-24,21,9
2020-03-25,30,3
2020-03-26,33,12
2020-03-27,45,15
2020-03-28,60,9
2020-03-29,69,14
2020-03-30,83,34
2020-03-31,117,33
2020-04-01,149,45
2020-04-02,191,48
2020-04-03,235,42
2020-04-04,274,25
2020-04-05,297,36
2020-04-06,329,91
2020-04-07,416,69
2020-04-08,476,68
2020-04-09,541,84
2020-04-10,613,97
2020-04-11,695,41
2020-04-12,727,26
2020-04-13,739,107
2020-04-14,812,91
2020-04-15,870,80
2020-04-16,905,85
2020-04-17,942,110
2020-04-18,1010,66
2020-04-19,1051,40
2020-04-20,1055,155
2020-04-21,1119,98
2020-04-22,1148,126
2020-04-23,1206,151
2020-04-24,1273,255
2020-04-25,1431,128
2020-04-26,1518,122
2020-04-27,1614,366
2020-04-28,1873,268
2020-04-29,2050,290
2020-04-30,2260,276
2020-05-01,2451,282
2020-05-02,2623,190
2020-05-03,2747,96
2020-05-04,2803,357
2020-05-05,3005,261
2020-05-06,3168,323
2020-05-07,3365,398
2020-05-08,3612,412
2020-05-09,3769,145
2020-05-10,3786,114
2020-05-11,3778,474
2020-05-12,3886,359
2020-05-13,3977,342
2020-05-14,4029,461
2020-05-15,4214,455
2020-05-16,4387,197
2020-05-17,4394,127
2020-05-18,4425,481
2020-05-19,4549,362
2020-05-20,4650,307
2020-05-21,4634,375
2020-05-22,4611,508
2020-05-23,4707,615
2020-05-24,5177,111
2020-05-25,5174,159
2020-05-26,4859,499
2020-05-27,4999,388
2020-05-28,5045,380
2020-05-29,4964,475
2020-05-30,4984,218
2020-05-31,5005,166
2020-06-01,5044,464
2020-06-02,5027,426
2020-06-03,5091,336
2020-06-04,5120,318
2020-06-05,5063,352
2020-06-06,4907,155
2020-06-07,4447,138
2020-06-08,4474,519
2020-06-09,4834,374
2020-06-10,4709,346
2020-06-11,4667,363
2020-06-12,4650,365
2020-06-13,4540,152
2020-06-14,4474,127
2020-06-15,4435,606
2020-06-16,4577,493
2020-06-17,4644,377
2020-06-18,4685,415
2020-06-19,4782,332
2020-06-20,4762,177
2020-06-21,4784,142
2020-06-22,4788,299
2020-06-23,4568,414
2020-06-24,4608,287
2020-06-25,4549,387
2020-06-26,4573,402
2020-06-27,4610,200
2020-06-28,4658,191
2020-06-29,4722,507
2020-06-30,4623,401
2020-07-01,4531,387
2020-07-02,4541,486
2020-07-03,4612,319
2020-07-04,4599,198
2020-07-05,4620,151
2020-07-06,4629,535
2020-07-07,4865,390
2020-07-08,4841,334
2020-07-09,4888,318
2020-07-10,4819,331
2020-07-11,4748,89
2020-07-12,4637,57
2020-07-13,4503,301
2020-07-14,4297,200
2020-07-15,4096,230
2020-07-16,3939,195
2020-07-17,3648,265
2020-07-18,3594,100
2020-07-19,3496,98
2020-07-20,3443,369
2020-07-21,3277,287
2020-07-22,3174,232
2020-07-23,3072,279
2020-07-24,3033,352
2020-07-25,3054,205
2020-07-26,3170,162
2020-07-27,3275,678
2020-07-28,3652,630
2020-07-29,4082,578
2020-07-30,4430,752
2020-07-31,4987,347
2020-08-01,5069,152
2020-08-02,5121,200
2020-08-03,5223,804
2020-08-04,5658,726
2020-08-05,6097,819
2020-08-06,6684,806
2020-08-07,7211,621
2020-08-08,7480,229
2020-08-09,7504,177
2020-08-10,7519,766
2020-08-11,7607,578
2020-08-12,7555,677
2020-08-13,7654,604
2020-08-14,7506,566
2020-08-15,7725,160
2020-08-16,7733,144
2020-08-17,7677,748
2020-08-18,7621,536
2020-08-19,7431,535
2020-08-20,7147,528
2020-08-21,6869,539
2020-08-22,6787,139
2020-08-23,6697,134
2020-08-24,6654,742
2020-08-25,6630,566
2020-08-26,6618,530
2020-08-27,6471,570
2020-08-28,6437,518
2020-08-29,6389,151
2020-08-30,6380,142
2020-08-31,6378,780
2020-09-01,6410,639
2020-09-02,6513,519
2020-09-03,6497,506
2020-09-04,6475,527
2020-09-05,6463,247
2020-09-06,6571,189
2020-09-07,6626,556
2020-09-08,6440,572
2020-09-09,6446,666
2020-09-10,6582,641
2020-09-11,6653,825
2020-09-12,6960,236
2020-09-13,7045,200
2020-09-14,7103,1000
2020-09-15,7323,783
2020-09-16,7467,761
2020-09-17,7709,770
2020-09-18,7973,793
2020-09-19,8239,308
2020-09-20,8300,313
2020-09-21,8424,1396
2020-09-22,9264,1146
2020-09-23,9838,1190
2020-09-24,10362,1111
2020-09-25,10832,1216
2020-09-26,11223,345
2020-09-27,11332,300
2020-09-28,11432,1148
2020-09-29,11580,914
2020-09-30,11711,1167
2020-10-01,12117,810
2020-10-02,12157,864
2020-10-03,12228,312
2020-10-04,12232,261
2020-10-05,12180,352
2020-10-06,11136,1061
2020-10-07,11051,813
2020-10-08,10674,799
2020-10-09,10362,871
2020-10-10,10017,308
2020-10-11,9980,239
2020-10-12,9919,36
