Date,14 - Tests,Day - Tests,14 - Pos,Day - Pos,14 - Pos Rate,Day - Pos Rate,,14 - Tests,Day - Tests,14 - Pos,Day - Pos,14 - Pos Rate,Day - Pos Rate,,Diff 14 Tested,Diff Daily Tests,Diff 14 Pos,Diff Daily Pos,Diff 14 Rate,Diff Day Rate
3/1/2020,,0,,0,#DIV/0!,#DIV/0!,,,0,,0,#DIV/0!,#DIV/0!,,0,0,0,0,#DIV/0!,#DIV/0!
3/2/2020,0,4,0,0,#DIV/0!,0,,0,4,0,0,#DIV/0!,0,,0,0,0,0,#DIV/0!,0
3/3/2020,4,1,0,0,0,0,,4,1,0,0,0,0,,0,0,0,0,0,0
3/4/2020,5,3,0,0,0,0,,5,3,0,0,0,0,,0,0,0,0,0,0
3/5/2020,8,7,0,0,0,0,,8,7,0,0,0,0,,0,0,0,0,0,0
3/6/2020,15,7,0,0,0,0,,15,7,0,0,0,0,,0,0,0,0,0,0
3/7/2020,22,7,0,4,0,0.571428571,,22,7,0,4,0,0.571428571,,0,0,0,0,0,4.28571E-10
3/8/2020,29,12,4,4,0.137931034,0.333333333,,29,12,4,4,0.137931034,0.333333333,,0,0,0,0,4.82759E-10,3.33333E-10
3/9/2020,41,17,8,5,0.195121951,0.294117647,,41,17,8,5,0.195121951,0.294117647,,0,0,0,0,2.19512E-10,5.88236E-11
3/10/2020,58,15,13,2,0.224137931,0.133333333,,58,15,13,2,0.224137931,0.133333333,,0,0,0,0,3.44827E-11,3.33333E-10
3/11/2020,73,16,15,2,0.205479452,0.125,,73,16,15,2,0.205479452,0.125,,0,0,0,0,5.47945E-11,0
3/12/2020,89,41,17,1,0.191011236,0.024390244,,89,41,17,1,0.191011236,0.024390244,,0,0,0,0,-4.49438E-11,-9.7561E-11
3/13/2020,130,68,18,6,0.138461538,0.088235294,,130,68,18,6,0.138461538,0.088235294,,0,0,0,0,4.61538E-10,1.17647E-10
3/14/2020,198,63,24,2,0.121212121,0.031746032,,198,63,24,2,0.121212121,0.031746032,,0,0,0,0,2.12121E-10,-2.53968E-10
3/15/2020,261,67,26,1,0.099616858,0.014925373,,261,67,26,1,0.099616858,0.014925373,,0,0,0,0,2.37548E-10,1.34328E-10
3/16/2020,328,248,27,20,0.082317073,0.080645161,,328,248,27,20,0.082317073,0.080645161,,0,0,0,0,1.70732E-10,2.90323E-10
3/17/2020,572,272,47,22,0.082167832,0.080882353,,572,275,47,22,0.082167832,0.08,,0,-3,0,0,1.67832E-10,0.000882353
3/18/2020,843,248,69,26,0.081850534,0.10483871,,846,248,69,26,0.081560284,0.10483871,,-3,0,0,0,0.00029025,-3.22581E-10
3/19/2020,1088,234,95,28,0.087316176,0.11965812,,1091,235,95,28,0.087076077,0.119148936,,-3,-1,0,0,0.000240099,0.000509184
3/20/2020,1315,255,123,26,0.093536122,0.101960784,,1319,257,123,26,0.093252464,0.101167315,,-4,-2,0,0,0.000283658,0.000793469
3/21/2020,1563,136,149,15,0.095329495,0.110294118,,1569,139,149,15,0.094964946,0.107913669,,-6,-3,0,0,0.000364549,0.002380449
3/22/2020,1692,144,160,18,0.094562648,0.125,,1701,145,160,18,0.094062316,0.124137931,,-9,-1,0,0,0.000500332,0.000862069
3/23/2020,1824,436,174,52,0.095394737,0.119266055,,1834,442,174,52,0.094874591,0.117647059,,-10,-6,0,0,0.000520146,0.001618996
3/24/2020,2243,457,221,56,0.098528756,0.122538293,,2259,460,221,56,0.097830899,0.12173913,,-16,-3,0,0,0.000697857,0.000799163
3/25/2020,2685,416,275,65,0.102420857,0.15625,,2704,419,275,65,0.101701183,0.155131265,,-19,-3,0,0,0.000719674,0.001118735
3/26/2020,3085,470,338,64,0.109562399,0.136170213,,3107,471,338,64,0.108786611,0.135881104,,-22,-1,0,0,0.000775788,0.000289109
3/27/2020,3514,478,401,69,0.114114969,0.144351464,,3537,481,401,69,0.113372915,0.143451143,,-23,-3,0,0,0.000742054,0.000900321
3/28/2020,3924,224,464,40,0.118246687,0.178571429,,3950,225,464,40,0.117468354,0.177777778,,-26,-1,0,0,0.000778333,0.000793651
3/29/2020,4085,174,502,36,0.122888617,0.206896552,,4112,174,502,36,0.122081712,0.206896552,,-27,0,0,0,0.000806905,-2.75862E-10
