Date,Individuals Positive - 14 Day Rolling Total,Individuals Positive - Daily Total
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,4
2020-03-08,4,4
2020-03-09,8,5
2020-03-10,13,2
2020-03-11,15,2
2020-03-12,17,1
2020-03-13,18,6
2020-03-14,24,2
2020-03-15,26,1
2020-03-16,27,20
2020-03-17,47,22
2020-03-18,69,26
2020-03-19,95,28
2020-03-20,123,26
2020-03-21,149,15
2020-03-22,160,18
2020-03-23,174,52
2020-03-24,221,56
2020-03-25,275,65
2020-03-26,338,64
2020-03-27,401,69
2020-03-28,464,40
2020-03-29,502,36
2020-03-30,537,114
2020-03-31,631,78
2020-04-01,687,83
2020-04-02,744,83
2020-04-03,799,97
2020-04-04,870,56
2020-04-05,911,68
2020-04-06,961,132
2020-04-07,1041,117
2020-04-08,1102,112
2020-04-09,1149,114
2020-04-10,1199,242
2020-04-11,1372,75
2020-04-12,1407,57
2020-04-13,1428,202
2020-04-14,1516,156
2020-04-15,1594,183
2020-04-16,1694,491
2020-04-17,2102,506
2020-04-18,2511,176
2020-04-19,2631,170
2020-04-20,2733,512
2020-04-21,3113,455
2020-04-22,3451,533
2020-04-23,3872,472
2020-04-24,4230,691
2020-04-25,4679,1289
2020-04-26,5893,164
2020-04-27,6000,568
2020-04-28,6366,649
2020-04-29,6859,514
2020-04-30,7190,443
2020-05-01,7142,400
2020-05-02,7036,174
2020-05-03,7034,127
2020-05-04,6991,604
2020-05-05,7083,512
2020-05-06,7140,373
2020-05-07,6980,367
2020-05-08,6875,342
2020-05-09,6526,120
2020-05-10,5357,118
2020-05-11,5311,446
2020-05-12,5189,406
2020-05-13,4946,313
2020-05-14,4745,352
2020-05-15,4654,317
2020-05-16,4571,151
2020-05-17,4548,124
2020-05-18,4545,797
2020-05-19,4738,647
2020-05-20,4873,444
2020-05-21,4944,477
2020-05-22,5054,306
2020-05-23,5018,119
2020-05-24,5017,103
2020-05-25,5002,87
2020-05-26,4643,468
2020-05-27,4705,397
2020-05-28,4789,441
2020-05-29,4878,360
2020-05-30,4921,123
2020-05-31,4893,76
2020-06-01,4845,489
2020-06-02,4537,338
2020-06-03,4228,388
2020-06-04,4172,344
2020-06-05,4039,361
2020-06-06,4094,91
2020-06-07,4066,58
2020-06-08,4021,483
2020-06-09,4417,319
2020-06-10,4268,332
2020-06-11,4203,271
2020-06-12,4033,274
2020-06-13,3947,79
2020-06-14,3903,58
2020-06-15,3885,448
2020-06-16,3844,371
2020-06-17,3877,378
2020-06-18,3867,350
2020-06-19,3873,461
2020-06-20,3973,105
2020-06-21,3987,82
2020-06-22,4011,561
2020-06-23,4089,492
2020-06-24,4262,428
2020-06-25,4358,481
2020-06-26,4568,456
2020-06-27,4750,161
2020-06-28,4832,171
2020-06-29,4945,712
2020-06-30,5209,692
2020-07-01,5530,584
2020-07-02,5736,694
2020-07-03,6080,248
2020-07-04,5867,100
2020-07-05,5862,203
2020-07-06,5983,774
2020-07-07,6196,731
2020-07-08,6435,817
2020-07-09,6824,773
2020-07-10,7116,566
2020-07-11,7226,211
2020-07-12,7276,203
2020-07-13,7308,786
2020-07-14,7382,633
2020-07-15,7323,661
2020-07-16,7400,562
2020-07-17,7268,518
2020-07-18,7538,153
2020-07-19,7591,134
2020-07-20,7522,747
2020-07-21,7495,584
2020-07-22,7348,591
2020-07-23,7122,589
2020-07-24,6938,555
2020-07-25,6927,136
2020-07-26,6852,147
2020-07-27,6796,737
2020-07-28,6747,590
2020-07-29,6704,605
2020-07-30,6648,629
2020-07-31,6715,541
2020-08-01,6738,138
2020-08-02,6723,131
2020-08-03,6720,839
2020-08-04,6812,686
2020-08-05,6914,536
2020-08-06,6859,527
2020-08-07,6797,540
2020-08-08,6782,186
2020-08-09,6832,156
2020-08-10,6841,652
2020-08-11,6756,548
2020-08-12,6714,700
2020-08-13,6809,687
2020-08-14,6867,680
2020-08-15,7006,206
2020-08-16,7074,184
2020-08-17,7127,1025
2020-08-18,7313,774
2020-08-19,7401,794
2020-08-20,7659,739
2020-08-21,7871,785
2020-08-22,8116,285
2020-08-23,8215,325
2020-08-24,8384,1448
2020-08-25,9180,1231
2020-08-26,9863,1248
2020-08-27,10411,1211
2020-08-28,10935,1199
2020-08-29,11454,299
2020-08-30,11547,280
2020-08-31,11643,1183
2020-09-01,11801,965
2020-09-02,11992,1147
2020-09-03,12345,927
2020-09-04,12533,905
2020-09-05,12653,239
2020-09-06,12607,241
2020-09-07,12523,274
2020-09-08,11349,1236
2020-09-09,11354,902
2020-09-10,11008,860
2020-09-11,10657,913
2020-09-12,10371,229
2020-09-13,10301,244
2020-09-14,10265,1583
2020-09-15,10665,993
2020-09-16,10693,1032
2020-09-17,10578,986
2020-09-18,10637,1029
2020-09-19,10761,313
2020-09-20,10835,275
2020-09-21,10869,1404
2020-09-22,11999,1206
2020-09-23,11969,1046
2020-09-24,12113,926
2020-09-25,12179,904
2020-09-26,12170,279
2020-09-27,12220,247
2020-09-28,12223,1463
2020-09-29,12103,989
2020-09-30,12099,957
2020-10-01,12024,869
2020-10-02,11907,878
2020-10-03,11756,352
2020-10-04,11795,284
2020-10-05,11804,1646
2020-10-06,12046,1224
2020-10-07,12064,1256
2020-10-08,12274,1217
2020-10-09,12565,1197
2020-10-10,12858,347
2020-10-11,12926,293
2020-10-12,12972,1395
2020-10-13,12904,345
2020-10-14,12260,48
