Date,Individuals Tested - 14 Day Rolling Total,Individuals Tested - Daily Total,Individuals Positive - 14 Day Rolling Total,Individuals Positive - Daily Total,Pos Test Rate - 14,Pos Test Rate - Day
3/1/2020,,0,,0,#DIV/0!,#DIV/0!
3/2/2020,0,4,0,0,#DIV/0!,0
3/3/2020,4,1,0,0,0,0
3/4/2020,5,3,0,0,0,0
3/5/2020,8,7,0,0,0,0
3/6/2020,15,7,0,0,0,0
3/7/2020,22,7,0,4,0,0.571428571
3/8/2020,29,12,4,4,0.137931034,0.333333333
3/9/2020,41,17,8,5,0.195121951,0.294117647
3/10/2020,58,15,13,2,0.224137931,0.133333333
3/11/2020,73,16,15,2,0.205479452,0.125
3/12/2020,89,41,17,1,0.191011236,0.024390244
3/13/2020,130,68,18,6,0.138461538,0.088235294
3/14/2020,198,63,24,2,0.121212121,0.031746032
3/15/2020,261,67,26,1,0.099616858,0.014925373
3/16/2020,328,248,27,20,0.082317073,0.080645161
3/17/2020,572,272,47,22,0.082167832,0.080882353
3/18/2020,843,248,69,26,0.081850534,0.10483871
3/19/2020,1088,234,95,28,0.087316176,0.11965812
3/20/2020,1315,255,123,26,0.093536122,0.101960784
3/21/2020,1563,136,149,15,0.095329495,0.110294118
3/22/2020,1692,144,160,18,0.094562648,0.125
3/23/2020,1824,436,174,52,0.095394737,0.119266055
3/24/2020,2243,457,221,56,0.098528756,0.122538293
3/25/2020,2685,416,275,65,0.102420857,0.15625
3/26/2020,3085,470,338,64,0.109562399,0.136170213
3/27/2020,3514,478,401,69,0.114114969,0.144351464
3/28/2020,3924,224,464,40,0.118246687,0.178571429
3/29/2020,4085,174,502,36,0.122888617,0.206896552
3/30/2020,4192,629,537,114,0.128101145,0.181240064
3/31/2020,4573,511,631,78,0.137983818,0.152641879
4/1/2020,4812,541,687,83,0.14276808,0.153419593
4/2/2020,5105,533,744,83,0.145739471,0.155722326
4/3/2020,5404,504,799,97,0.147853442,0.192460317
4/4/2020,5653,217,870,56,0.153900584,0.258064516
4/5/2020,5734,239,911,68,0.158876875,0.284518828
4/6/2020,5829,694,961,132,0.164865329,0.190201729
4/7/2020,6087,610,1041,117,0.171020207,0.191803279
4/8/2020,6240,577,1102,112,0.176602564,0.194107452
4/9/2020,6401,510,1149,114,0.179503203,0.223529412
4/10/2020,6441,650,1199,242,0.186151219,0.372307692
4/11/2020,6613,248,1372,75,0.207470135,0.302419355
4/12/2020,6637,191,1407,57,0.21199337,0.298429319
4/13/2020,6654,671,1428,202,0.214607755,0.301043219
4/14/2020,6696,624,1516,156,0.226403823,0.25
4/15/2020,6809,660,1594,183,0.234101924,0.277272727
4/16/2020,6928,1404,1694,491,0.244515012,0.3497151
4/17/2020,7799,1447,2102,506,0.269521734,0.349689012
4/18/2020,8742,427,2511,176,0.287234043,0.412177986
4/19/2020,8952,412,2631,170,0.293900804,0.412621359
4/20/2020,9125,1335,2733,512,0.299506849,0.383520599
4/21/2020,9766,1278,3113,455,0.31875896,0.356025039
4/22/2020,10434,1386,3451,533,0.330745639,0.384559885
4/23/2020,11243,1441,3872,472,0.344392066,0.327550312
4/24/2020,12174,2092,4230,691,0.347461804,0.330305927
4/25/2020,13616,3463,4679,1289,0.343639835,0.372220618
4/26/2020,16831,643,5893,164,0.35012774,0.255054432
4/27/2020,17283,1968,6000,568,0.347161951,0.288617886
4/28/2020,18580,2318,6366,649,0.34262648,0.279982744
4/29/2020,20274,2367,6859,514,0.338315083,0.217152514
4/30/2020,21981,2328,7190,443,0.327100678,0.190292096
5/1/2020,22905,1870,7142,400,0.311809649,0.213903743
5/2/2020,23328,649,7036,174,0.301611797,0.268104777
5/3/2020,23550,617,7034,127,0.298683652,0.205834684
5/4/2020,23755,2337,6991,604,0.294295938,0.258451006
5/5/2020,24757,2524,7083,512,0.286100901,0.202852615
5/6/2020,26003,2165,7140,373,0.274583702,0.172286374
5/7/2020,26782,2085,6980,367,0.260622806,0.176019185
5/8/2020,27426,2020,6875,342,0.250674542,0.169306931
5/9/2020,27354,854,6526,120,0.238575711,0.140515222
5/10/2020,24745,817,5357,118,0.216488179,0.144430845
5/11/2020,24919,2708,5311,446,0.213130543,0.164697194
5/12/2020,25659,2765,5189,406,0.202229237,0.146835443
5/13/2020,26106,2378,4946,313,0.189458362,0.131623213
5/14/2020,26117,2450,4745,352,0.181682429,0.143673469
5/15/2020,26239,2254,4654,317,0.177369564,0.140638864
5/16/2020,26623,1130,4571,151,0.171693648,0.133628319
5/17/2020,27104,1063,4548,124,0.167798111,0.116650988
5/18/2020,27550,4170,4545,797,0.164972777,0.191127098
5/19/2020,29383,3957,4738,647,0.161249702,0.163507708
5/20/2020,30816,3253,4873,444,0.158132139,0.136489394
5/21/2020,31904,2923,4944,477,0.154964895,0.163188505
5/22/2020,32742,3268,5054,306,0.154358317,0.093635251
5/23/2020,33990,830,5018,119,0.147631656,0.143373494
5/24/2020,33966,978,5017,103,0.14770653,0.105316973
5/25/2020,34127,928,5002,87,0.146570164,0.09375
5/26/2020,32347,4230,4643,468,0.143537268,0.110638298
5/27/2020,33812,3917,4705,397,0.13915178,0.101353076
5/28/2020,35351,3845,4789,441,0.135470001,0.114694408
5/29/2020,36746,3629,4878,360,0.132749143,0.099200882
5/30/2020,38121,1232,4921,123,0.129088954,0.099837662
5/31/2020,38223,1235,4893,76,0.12801193,0.061538462
6/1/2020,38395,4122,4845,489,0.126188306,0.118631732
6/2/2020,38347,4097,4537,338,0.11831434,0.08249939
6/3/2020,38487,3813,4228,388,0.109855276,0.101757147
6/4/2020,39047,3629,4172,344,0.106845596,0.094791954
6/5/2020,39753,3578,4039,361,0.101602395,0.100894354
6/6/2020,40063,1250,4094,91,0.102189052,0.0728
6/7/2020,40483,1214,4066,58,0.100437221,0.047775947
6/8/2020,40719,4510,4021,483,0.098749969,0.107095344
6/9/2020,44301,3971,4417,319,0.099704296,0.08033241
6/10/2020,44042,3780,4268,332,0.096907497,0.087830688
6/11/2020,43905,3524,4203,271,0.095729416,0.076901249
6/12/2020,43584,3753,4033,274,0.092533957,0.07300826
6/13/2020,43708,1281,3947,79,0.090303835,0.06167057
6/14/2020,43757,1249,3903,58,0.089197157,0.04643715
6/15/2020,43771,4652,3885,448,0.088757396,0.096302666
6/16/2020,44301,4340,3844,371,0.08677005,0.085483871
6/17/2020,44544,4125,3877,378,0.087037536,0.091636364
6/18/2020,44856,3961,3867,350,0.086209203,0.088361525
6/19/2020,45188,4630,3873,461,0.085708595,0.099568035
6/20/2020,46240,1619,3973,105,0.08592128,0.064854849
6/21/2020,46609,1410,3987,82,0.085541419,0.058156028
6/22/2020,46805,5831,4011,561,0.085695973,0.096209913
6/23/2020,48126,5572,4089,492,0.084964468,0.088298636
6/24/2020,49727,5077,4262,428,0.085707965,0.084301753
6/25/2020,51024,5215,4358,481,0.085410787,0.092233941
6/26/2020,52715,4979,4568,456,0.086654652,0.091584656
6/27/2020,53941,1923,4750,161,0.088059176,0.083723349
6/28/2020,54583,1870,4832,171,0.088525731,0.09144385
6/29/2020,55204,6896,4945,712,0.089576842,0.10324826
6/30/2020,57448,5790,5209,692,0.090673305,0.119516408
7/1/2020,58898,5445,5530,584,0.093891134,0.107254362
7/2/2020,60218,6160,5736,694,0.095253911,0.112662338
7/3/2020,62417,2283,6080,248,0.09740936,0.108628997
7/4/2020,60070,1167,5867,100,0.097669386,0.085689803
7/5/2020,59618,1966,5862,203,0.098326009,0.103255341
7/6/2020,60174,7772,5983,774,0.099428325,0.099588266
7/7/2020,62115,7176,6196,731,0.099750463,0.101867336
7/8/2020,63719,6490,6435,817,0.100990285,0.125885978
7/9/2020,65132,6054,6824,773,0.104771848,0.127684176
7/10/2020,65971,6203,7116,566,0.107865577,0.091246171
7/11/2020,67195,2394,7226,211,0.107537763,0.088137009
7/12/2020,67666,2082,7276,203,0.107528153,0.097502402
7/13/2020,67878,7885,7308,786,0.10766375,0.099682942
7/14/2020,68867,6792,7382,633,0.107192124,0.09319788
7/15/2020,69869,6422,7323,661,0.104810431,0.102927437
7/16/2020,70846,5758,7400,562,0.10445191,0.097603334
7/17/2020,70444,5679,7268,518,0.103174153,0.091213242
7/18/2020,73840,2174,7538,153,0.10208559,0.070377185
7/19/2020,74847,1711,7591,134,0.101420231,0.078316774
7/20/2020,74592,7618,7522,747,0.100841913,0.098057233
7/21/2020,74438,6405,7495,584,0.100687821,0.091178767
7/22/2020,73667,5882,7348,591,0.099746155,0.100476029
7/23/2020,73059,5437,7122,589,0.097482856,0.108331801
7/24/2020,72442,5745,6938,555,0.09577317,0.096605744
7/25/2020,71984,1814,6927,136,0.096229718,0.074972437
7/26/2020,71404,1665,6852,147,0.095961011,0.088288288
7/27/2020,70987,7035,6796,737,0.095735839,0.104761905
7/28/2020,70137,6101,6747,590,0.096197442,0.096705458
7/29/2020,69446,5592,6704,605,0.096535438,0.108190272
7/30/2020,68616,5067,6648,629,0.096887023,0.12413657
7/31/2020,67925,5394,6715,541,0.098859036,0.100296626
8/1/2020,67640,1699,6738,138,0.099615612,0.08122425
8/2/2020,67165,1705,6723,131,0.100096777,0.076832845
8/3/2020,67159,8025,6720,839,0.100061049,0.104548287
8/4/2020,67566,6886,6812,686,0.100819939,0.099622422
8/5/2020,68047,6111,6914,536,0.101606243,0.087710686
8/6/2020,68276,5625,6859,527,0.100459898,0.093688889
8/7/2020,68464,6181,6797,540,0.099278453,0.087364504
8/8/2020,68900,1871,6782,186,0.098432511,0.099412079
8/9/2020,68957,1747,6832,156,0.099076236,0.089295936
8/10/2020,69039,5823,6841,652,0.099088921,0.111969775
8/11/2020,67827,5724,6756,548,0.099606351,0.095737247
8/12/2020,67450,7169,6714,700,0.0995404,0.097642628
8/13/2020,69027,5996,6809,687,0.09864256,0.114576384
8/14/2020,69956,6523,6867,680,0.098161702,0.104246512
8/15/2020,71085,2468,7006,206,0.098558064,0.083468395
8/16/2020,71854,2193,7074,184,0.098449634,0.083903329
8/17/2020,72342,7698,7127,1025,0.09851815,0.133151468
8/18/2020,72015,6697,7313,774,0.101548289,0.115574138
8/19/2020,71826,6335,7401,794,0.103040682,0.125335438
8/20/2020,72050,6080,7659,739,0.10630118,0.121546053
8/21/2020,72505,6110,7871,785,0.10855803,0.128477905
8/22/2020,72434,2247,8116,285,0.112046829,0.126835781
8/23/2020,72810,2284,8215,325,0.112827908,0.142294221
8/24/2020,73347,8608,8384,1448,0.11430597,0.168215613
8/25/2020,76132,7600,9180,1231,0.120580045,0.161973684
8/26/2020,78008,6843,9863,1248,0.12643575,0.182376151
8/27/2020,77682,7203,10411,1211,0.134020751,0.168124393
8/28/2020,78889,7463,10935,1199,0.138612481,0.160659252
8/29/2020,79829,2426,11454,299,0.143481692,0.123248145
8/30/2020,79787,2335,11547,280,0.144722825,0.119914347
8/31/2020,79929,9546,11643,1183,0.145666779,0.123926252
9/1/2020,81777,8478,11801,965,0.144307079,0.113824015
9/2/2020,83558,8097,11992,1147,0.143517078,0.141657404
9/3/2020,85320,7700,12345,927,0.144690577,0.12038961
9/4/2020,86940,7441,12533,905,0.14415689,0.121623438
9/5/2020,88271,2487,12653,239,0.143342661,0.096099719
9/6/2020,88511,2573,12607,241,0.142434274,0.093664983
9/7/2020,88800,2114,12523,274,0.141024775,0.12961211
9/8/2020,82306,11497,11349,1236,0.137887882,0.107506306
9/9/2020,86203,8795,11354,902,0.131712353,0.102558272
9/10/2020,88155,7780,11008,860,0.124870966,0.110539846
9/11/2020,88732,8575,10657,913,0.120103232,0.106472303
9/12/2020,89844,2892,10371,229,0.115433418,0.079183956
9/13/2020,90310,2454,10301,244,0.114062673,0.099429503
9/14/2020,90429,11336,10265,1583,0.11351447,0.139643613
9/15/2020,92219,9524,10665,993,0.115648619,0.104262915
9/16/2020,93265,8144,10693,1032,0.114651799,0.126719057
9/17/2020,93312,8327,10578,986,0.113361626,0.118409992
9/18/2020,93939,8698,10637,1029,0.113233055,0.118303058
9/19/2020,95196,3194,10761,313,0.113040464,0.097996243
9/20/2020,95903,2568,10835,275,0.112978739,0.107087227
9/21/2020,95898,12290,10869,1404,0.113339173,0.114239219
9/22/2020,106074,11267,11999,1206,0.113119143,0.107038253
9/23/2020,105844,9671,11969,1046,0.113081516,0.108158412
9/24/2020,106720,9000,12113,926,0.113502624,0.102888889
9/25/2020,107940,8389,12179,904,0.112831203,0.107760162
9/26/2020,107754,2843,12170,279,0.112942443,0.098135772
9/27/2020,107705,2660,12220,247,0.113458057,0.092857143
9/28/2020,107911,12646,12223,1463,0.113269268,0.115688755
9/29/2020,109221,10193,12103,989,0.110812023,0.097027372
9/30/2020,109890,9694,12099,957,0.11010101,0.098720858
10/1/2020,111440,8256,12024,869,0.107896626,0.105256783
10/2/2020,111369,8833,11907,878,0.106914851,0.099399977
10/3/2020,111504,3175,11756,352,0.105431195,0.110866142
10/4/2020,111485,2965,11795,284,0.105798986,0.095784148
10/5/2020,111882,15099,11804,1646,0.105504013,0.109013842
10/6/2020,114691,14723,12046,1224,0.105030037,0.083135231
10/7/2020,118147,12365,12064,1256,0.102110083,0.101577032
10/8/2020,120841,11950,12274,1217,0.101571486,0.101841004
