EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,85666,10505,7642,188
Linn,32699,2343,1915,73
Johnson,24741,2908,1559,22
Scott,23806,1731,1299,17
Black Hawk,22821,3016,2370,61
Story,19414,1881,936,16
Dubuque,19342,1633,1240,27
Woodbury,19311,3282,2885,44
Dallas,16681,1888,1425,30
Pottawattamie,13939,1304,1082,31
Webster,8109,799,506,8
Warren,7929,604,429,5
Marshall,7611,1326,1126,26
Cerro Gordo,7574,673,470,14
Buena Vista,6701,1464,1422,9
Muscatine,6331,784,651,39
Pending Investigation,6216,19,0,0
Clinton,5989,623,250,6
Wapello,5524,884,739,42
Des Moines,5215,426,103,4
Jasper,4717,466,349,23
Sioux,4456,732,485,3
Plymouth,4057,578,355,14
Marion,4029,374,160,0
Boone,3873,284,188,4
Lee,3641,317,77,4
Dickinson,3544,350,306,3
Carroll,3402,291,160,2
Bremer,3336,243,163,6
Benton,3253,165,121,1
Crawford,3234,643,562,3
Wright,3037,412,341,0
Tama,2969,512,425,22
Mahaska,2891,164,108,12
Washington,2882,264,233,7
Buchanan,2816,147,89,1
Henry,2806,219,83,4
Fayette,2575,110,64,1
Floyd,2551,168,134,3
Jackson,2510,159,111,1
Winneshiek,2499,181,99,3
Mills,2492,102,69,1
Clay,2460,201,149,3
Hamilton,2457,222,189,2
Iowa,2428,86,69,0
Delaware,2393,174,120,2
Jones,2393,127,98,2
Hardin,2379,182,135,1
Cedar,2313,124,97,1
Madison,2238,135,85,2
Poweshiek,2209,142,119,6
Clayton,2152,142,106,2
Butler,2146,148,116,0
Union,2004,78,54,3
Kossuth,1965,99,68,0
Winnebago,1914,129,65,4
Jefferson,1857,86,51,0
Allamakee,1849,148,127,4
O'Brien,1836,153,100,6
Page,1757,89,86,0
Grundy,1751,91,52,1
Mitchell,1708,75,62,0
Hancock,1690,121,103,1
Franklin,1680,224,185,15
Louisa,1672,330,304,10
Guthrie,1660,130,97,4
Cass,1639,92,85,1
Cherokee,1600,109,98,1
Chickasaw,1571,81,64,0
Sac,1570,90,71,0
Harrison,1557,120,96,1
Calhoun,1550,97,69,1
Shelby,1530,173,166,1
Appanoose,1511,61,46,2
Clarke,1475,195,151,2
Humboldt,1420,128,74,2
Emmet,1395,170,142,6
Palo Alto,1346,90,60,0
Howard,1220,107,46,2
Montgomery,1216,60,50,4
Greene,1209,40,29,0
Pocahontas,1105,104,88,1
Monona,1059,82,70,1
Worth,1053,67,52,0
Lyon,1032,126,110,2
Keokuk,1022,51,27,1
Adair,1014,43,19,1
Decatur,911,34,20,0
Lucas,908,66,23,4
Ida,861,33,25,0
Taylor,824,84,77,1
Monroe,811,81,47,6
Davis,808,69,42,1
Van Buren,770,82,28,1
Audubon,700,34,23,1
Fremont,679,46,29,0
Ringgold,650,24,20,1
Osceola,621,82,67,0
Wayne,547,37,22,1
Adams,396,15,12,0
