County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14,co_fips
Adair,2218,266,99,3,2020-11-07,2020,11,7,29,5,4,0,17.2413793103448,13167,0.45679012345679,19001
Adams,910,96,59,1,2020-11-07,2020,11,7,9,3,2,0,33.3333333333333,13166,0.2125,19003
Allamakee,3612,488,287,9,2020-11-07,2020,11,7,17,8,1,0,47.0588235294118,13165,0.453900709219858,19005
Appanoose,3490,380,186,3,2020-11-07,2020,11,7,54,19,3,0,35.1851851851852,13164,0.447592067988669,19007
Audubon,1576,225,115,1,2020-11-07,2020,11,7,9,5,1,0,55.5555555555556,13163,0.583333333333333,19009
Benton,7657,931,407,6,2020-11-07,2020,11,7,126,46,9,0,36.5079365079365,13162,0.407158836689038,19011
Black Hawk,44562,7455,4823,108,2020-11-07,2020,11,7,382,219,54,1,57.3298429319372,13161,0.501414245307277,19013
Boone,8087,897,611,10,2020-11-07,2020,11,7,61,20,12,0,32.7868852459016,13160,0.2921875,19015
Bremer,6968,1043,567,11,2020-11-07,2020,11,7,95,49,7,1,51.5789473684211,13159,0.523287671232877,19017
Buchanan,5820,676,348,5,2020-11-07,2020,11,7,61,34,6,0,55.7377049180328,13158,0.417857142857143,19019
Buena Vista,10743,2500,2134,13,2020-11-07,2020,11,7,53,46,20,0,86.7924528301887,13157,0.5,19021
Butler,4287,549,405,3,2020-11-07,2020,11,7,46,18,1,0,39.1304347826087,13156,0.454545454545455,19023
Calhoun,3620,635,311,5,2020-11-07,2020,11,7,229,167,3,0,72.9257641921397,13155,0.598214285714286,19025
Carroll,7604,1441,910,14,2020-11-07,2020,11,7,58,42,42,1,72.4137931034483,13154,0.464488636363636,19027
Cass,3928,571,364,10,2020-11-07,2020,11,7,21,11,0,0,52.3809523809524,13153,0.503916449086162,19029
Cedar,5402,642,300,9,2020-11-07,2020,11,7,44,16,3,1,36.3636363636364,13152,0.34982332155477,19031
Cerro Gordo,14668,1990,1158,30,2020-11-07,2020,11,7,200,104,11,1,52,13151,0.455587392550143,19033
Cherokee,3614,516,332,3,2020-11-07,2020,11,7,27,10,6,0,37.037037037037,13150,0.413907284768212,19035
Chickasaw,3227,461,396,1,2020-11-07,2020,11,7,29,14,0,0,48.2758620689655,13149,0.421245421245421,19037
Clarke,2918,394,287,3,2020-11-07,2020,11,7,12,5,4,0,41.6666666666667,13148,0.253807106598985,19039
Clay,5021,700,427,4,2020-11-07,2020,11,7,37,21,10,0,56.7567567567568,13147,0.406466512702079,19041
Clayton,4290,667,370,4,2020-11-07,2020,11,7,20,8,2,0,40,13146,0.542443064182195,19043
