County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,10874,922,693,28,2021-03-03,2021,3,3,38,3,4,0,7.89473684210526,24552,0
Adams,4670,326,310,4,2021-03-03,2021,3,3,22,1,1,0,4.54545454545455,24551,0
Allamakee,18237,1468,1300,47,2021-03-03,2021,3,3,105,13,5,0,12.3809523809524,24550,0
Appanoose,15567,1392,1118,47,2021-03-03,2021,3,3,119,2,2,0,1.68067226890756,24549,0
Audubon,10278,488,428,9,2021-03-03,2021,3,3,82,1,4,0,1.21951219512195,24548,0
Benton,31593,2532,2150,54,2021-03-03,2021,3,3,123,6,9,0,4.87804878048781,24547,0
Black Hawk,185619,16270,14190,292,2021-03-03,2021,3,3,746,12,34,0,1.60857908847185,24546,0
Boone,38475,2610,2280,30,2021-03-03,2021,3,3,293,6,6,0,2.04778156996587,24545,0
Bremer,32549,2812,2504,54,2021-03-03,2021,3,3,223,13,5,0,5.82959641255605,24544,0
Buchanan,25921,1852,1648,29,2021-03-03,2021,3,3,102,4,6,0,3.92156862745098,24543,0
Buena Vista,39790,4741,3981,37,2021-03-03,2021,3,3,127,3,1,0,2.36220472440945,24542,0
Butler,25204,1674,1514,31,2021-03-03,2021,3,3,99,6,3,0,6.06060606060606,24541,0
Calhoun,16030,1344,1243,11,2021-03-03,2021,3,3,76,4,1,0,5.26315789473684,24540,0
Carroll,31630,2863,2560,49,2021-03-03,2021,3,3,104,4,0,0,3.84615384615385,24539,0
Cass,18170,1354,1146,51,2021-03-03,2021,3,3,89,9,3,0,10.1123595505618,24538,0
Cedar,26083,1779,1579,23,2021-03-03,2021,3,3,139,3,3,0,2.15827338129496,24537,0
Cerro Gordo,67030,5343,4789,82,2021-03-03,2021,3,3,332,11,14,0,3.31325301204819,24536,0
Cherokee,17636,1549,1378,36,2021-03-03,2021,3,3,103,5,1,0,4.85436893203884,24535,0
Chickasaw,15262,1258,1148,15,2021-03-03,2021,3,3,56,4,0,0,7.14285714285714,24534,0
Clarke,11724,1008,854,20,2021-03-03,2021,3,3,25,3,6,0,12,24533,0
Clay,25408,1936,1753,25,2021-03-03,2021,3,3,41,1,6,0,2.4390243902439,24532,0
Clayton,21298,1684,1524,54,2021-03-03,2021,3,3,141,0,3,0,0,24531,0
Clinton,53338,5444,4680,84,2021-03-03,2021,3,3,217,19,14,0,8.75576036866359,24530,0
Crawford,23693,2750,2376,35,2021-03-03,2021,3,3,140,0,9,0,0,24529,0
