County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,15312,2922,1001,79
Woodbury,8121,2215,913,16
Black Hawk,6962,1587,873,30
Linn,6552,896,658,70
Johnson,5460,569,273,7
Scott,4305,307,259,8
Dubuque,3675,264,120,10
Dallas,3510,776,390,11
Marshall,2952,794,394,5
Muscatine,2552,532,313,33
Pottawattamie,2014,161,67,2
Jasper,1525,247,177,12
Story,1514,75,53,1
Cerro Gordo,1425,18,12,
Wapello,1269,379,12,2
Tama,1232,356,195,17
Warren,1227,72,39,
Boone,1114,42,18,
Clinton,1080,61,43,1
Crawford,1070,380,146,1
Webster,1042,13,6,1
Washington,1040,172,130,8
Louisa,924,307,190,3
Buena Vista,801,102,13,
Wright,703,14,3,
Sioux,695,135,40,
Allamakee,662,114,81,4
Benton,654,36,25,1
Plymouth,637,83,42,
Cedar,585,42,36,1
Marion,575,21,13,
Fayette,574,25,18,
Des Moines,555,37,22,1
Bremer,546,64,50,5
Floyd,539,11,2,1
Winneshiek,538,18,17,
Hamilton,529,11,7,
Jones,503,36,21,
Buchanan,501,26,20,
Henry,492,47,37,1
Iowa,470,29,23,
Clayton,435,28,21,3
Poweshiek,435,86,57,8
Page,431,10,8,
Franklin,417,7,3,
Lee,409,18,15,
Carroll,394,8,2,
Delaware,394,12,10,
Mahaska,393,24,16,1
Hardin,384,12,7,
Jackson,366,8,7,
Grundy,327,17,12,
Guthrie,315,37,15,2
Butler,309,14,12,
Harrison,306,17,17,
Madison,304,16,9,1
O'Brien,303,22,9,
Mills,282,10,5,
Mitchell,273,4,3,
Chickasaw,262,7,6,
Kossuth,261,3,2,
Hancock,254,5,2,
Howard,252,12,10,
Cherokee,249,9,3,
Clay,247,9,8,
Greene,246,13,9,
Union,242,2,1,
Jefferson,241,12,7,
Monona,231,15,12,
Dickinson,230,6,6,
Keokuk,227,11,8,
Winnebago,227,6,4,
Sac,224,4,2,
Clarke,224,17,4,
Appanoose,222,8,2,3
Cass,218,2,1,
Lyon,208,19,15,
Worth,204,3,1,
Shelby,203,21,16,
Humboldt,195,7,6,
Montgomery,195,6,4,
Calhoun,186,1,,
Emmet,177,1,,
Monroe,150,19,3,1
Ida,147,3,1,
Decatur,147,,,
Osceola,145,26,15,
Taylor,127,2,1,
Audubon,124,11,6,1
Lucas,122,1,,
Adair,118,5,2,
Van Buren,113,8,8,
Pocahontas,112,3,2,
Palo Alto,111,2,1,
Davis,96,13,3,
Fremont,93,3,1,
Ringgold,87,,,
Wayne,75,1,1,
Pending Investigation,73,8,1,
Adams,63,1,,
