County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,869,20,16,0,2020-07-29,2020,7,29,11,0,0,0,0,3861
Adams,391,15,9,0,2020-07-29,2020,7,29,8,2,0,0,25,3860
Allamakee,1940,146,124,4,2020-07-29,2020,7,29,16,1,1,0,6.25,3859
Appanoose,1319,37,31,3,2020-07-29,2020,7,29,21,1,1,0,4.76190476190476,3858
Audubon,660,27,15,1,2020-07-29,2020,7,29,25,2,0,0,8,3857
Benton,3055,120,84,1,2020-07-29,2020,7,29,89,3,0,0,3.37078651685393,3856
Black Hawk,22796,2918,2143,62,2020-07-29,2020,7,29,485,41,61,0,8.45360824742268,3855
Boone,3686,221,142,2,2020-07-29,2020,7,29,50,3,6,1,6,3854
Bremer,3221,174,84,7,2020-07-29,2020,7,29,65,7,4,0,10.7692307692308,3853
Buchanan,2642,95,51,1,2020-07-29,2020,7,29,42,3,3,0,7.14285714285714,3852
Buena Vista,7706,1779,1698,12,2020-07-29,2020,7,29,34,3,8,0,8.82352941176471,3851
Butler,2078,102,83,2,2020-07-29,2020,7,29,37,3,2,0,8.10810810810811,3850
Calhoun,1464,78,68,2,2020-07-29,2020,7,29,24,3,0,0,12.5,3849
Carroll,3045,173,136,1,2020-07-29,2020,7,29,112,5,1,0,4.46428571428571,3848
Cass,1276,37,31,0,2020-07-29,2020,7,29,24,1,0,0,4.16666666666667,3847
Cedar,2255,114,81,1,2020-07-29,2020,7,29,34,5,1,0,14.7058823529412,3846
Cerro Gordo,7478,558,197,17,2020-07-29,2020,7,29,138,6,13,1,4.34782608695652,3845
Cherokee,1596,97,78,1,2020-07-29,2020,7,29,15,1,0,0,6.66666666666667,3844
Chickasaw,1472,48,44,0,2020-07-29,2020,7,29,25,0,7,0,0,3843
Clarke,1386,166,124,3,2020-07-29,2020,7,29,19,5,4,0,26.3157894736842,3842
Clay,2398,168,128,1,2020-07-29,2020,7,29,39,2,3,0,5.12820512820513,3841
Clayton,2038,84,59,3,2020-07-29,2020,7,29,29,0,2,0,0,3840
Clinton,5137,269,106,2,2020-07-29,2020,7,29,177,22,5,0,12.4293785310734,3839
Crawford,3446,700,666,3,2020-07-29,2020,7,29,30,0,1,0,0,3838
Dallas,15548,1702,1212,34,2020-07-29,2020,7,29,334,25,34,0,7.48502994011976,3837
Davis,745,49,38,1,2020-07-29,2020,7,29,7,1,0,0,14.2857142857143,3836
Decatur,565,17,11,0,2020-07-29,2020,7,29,4,0,0,0,0,3835
Delaware,1971,81,61,1,2020-07-29,2020,7,29,45,2,0,0,4.44444444444444,3834
Des Moines,3934,131,87,2,2020-07-29,2020,7,29,91,0,1,0,0,3833
Dickinson,3633,365,253,4,2020-07-29,2020,7,29,57,6,8,0,10.5263157894737,3832
Dubuque,18982,1415,580,26,2020-07-29,2020,7,29,300,37,50,0,12.3333333333333,3831
Emmet,1417,161,79,1,2020-07-29,2020,7,29,46,16,2,0,34.7826086956522,3830
Fayette,2474,75,35,0,2020-07-29,2020,7,29,56,4,2,0,7.14285714285714,3829
Floyd,2398,100,70,2,2020-07-29,2020,7,29,41,4,1,0,9.75609756097561,3828
Franklin,1628,183,100,4,2020-07-29,2020,7,29,26,9,9,1,34.6153846153846,3827
Fremont,613,27,7,0,2020-07-29,2020,7,29,29,3,0,0,10.3448275862069,3826
Greene,1151,37,29,0,2020-07-29,2020,7,29,8,0,0,0,0,3825
Grundy,1676,68,35,1,2020-07-29,2020,7,29,37,3,0,0,8.10810810810811,3824
Guthrie,1632,122,77,5,2020-07-29,2020,7,29,18,0,0,0,0,3823
Hamilton,2447,231,215,1,2020-07-29,2020,7,29,23,3,0,0,13.0434782608696,3822
Hancock,1670,107,82,2,2020-07-29,2020,7,29,22,2,5,0,9.09090909090909,3821
Hardin,2411,146,70,0,2020-07-29,2020,7,29,44,7,2,0,15.9090909090909,3820
Harrison,1468,88,65,0,2020-07-29,2020,7,29,24,4,2,0,16.6666666666667,3819
Henry,2454,107,82,3,2020-07-29,2020,7,29,72,0,1,0,0,3818
Howard,1186,47,31,0,2020-07-29,2020,7,29,20,0,1,0,0,3817
Humboldt,1191,83,68,1,2020-07-29,2020,7,29,6,0,0,0,0,3816
Ida,845,29,22,0,2020-07-29,2020,7,29,9,1,0,0,11.1111111111111,3815
Iowa,2473,81,52,1,2020-07-29,2020,7,29,45,3,1,0,6.66666666666667,3814
Jackson,2438,129,29,0,2020-07-29,2020,7,29,39,3,1,0,7.69230769230769,3813
Jasper,4424,443,324,24,2020-07-29,2020,7,29,89,4,1,0,4.49438202247191,3812
Jefferson,1707,72,59,0,2020-07-29,2020,7,29,31,1,2,0,3.2258064516129,3811
Johnson,22812,1821,1285,14,2020-07-29,2020,7,29,438,50,43,2,11.4155251141553,3810
Jones,2299,115,64,1,2020-07-29,2020,7,29,58,3,1,0,5.17241379310345,3809
Keokuk,1003,27,20,1,2020-07-29,2020,7,29,14,0,0,0,0,3808
Kossuth,1846,73,33,0,2020-07-29,2020,7,29,35,1,0,0,2.85714285714286,3807
Lee,2657,83,49,2,2020-07-29,2020,7,29,77,4,0,0,5.1948051948052,3806
Linn,30459,1927,1495,87,2020-07-29,2020,7,29,831,69,28,0,8.30324909747293,3805
Louisa,1756,375,347,14,2020-07-29,2020,7,29,24,2,0,0,8.33333333333333,3804
Lucas,720,40,27,4,2020-07-29,2020,7,29,17,0,0,0,0,3803
Lyon,971,94,75,0,2020-07-29,2020,7,29,27,4,0,0,14.8148148148148,3802
Madison,2037,91,44,2,2020-07-29,2020,7,29,50,4,4,0,8,3801
Mahaska,1910,133,104,17,2020-07-29,2020,7,29,40,1,1,0,2.5,3800
Marion,3063,141,99,0,2020-07-29,2020,7,29,83,3,2,0,3.6144578313253,3799
Marshall,7782,1346,1018,24,2020-07-29,2020,7,29,194,36,18,1,18.5567010309278,3798
Mills,2570,72,37,0,2020-07-29,2020,7,29,22,2,0,0,9.09090909090909,3797
Mitchell,1746,76,65,0,2020-07-29,2020,7,29,38,1,2,0,2.63157894736842,3796
