EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,110636,13689,10042,227
Linn,41884,3031,2524,94
Johnson,33022,4255,2031,26
Scott,30547,2282,1712,21
Black Hawk,29390,3873,3032,76
Story,25354,2681,1203,16
Woodbury,24865,4218,3655,56
Dubuque,24565,2093,1632,36
Dallas,21386,2421,1851,38
Pottawattamie,17923,1683,1412,34
Webster,10404,1054,651,9
Warren,10249,806,552,6
Cerro Gordo,9691,857,580,20
Marshall,9629,1676,1414,32
Buena Vista,8396,1834,1777,12
Pending Investigation,8106,18,0,0
Muscatine,7986,981,799,52
Clinton,7927,882,375,13
Des Moines,6988,585,158,5
Wapello,6917,1103,961,51
Jasper,6134,601,446,30
Sioux,5656,926,619,3
Marion,5360,540,214,2
Plymouth,5185,790,441,18
Boone,4941,355,245,4
Lee,4888,457,106,5
Dickinson,4471,434,370,6
Carroll,4427,438,218,3
Bremer,4314,358,211,7
Crawford,4212,855,724,3
Benton,4148,215,148,1
Washington,3821,350,301,11
Wright,3809,521,446,1
Tama,3803,644,522,29
Mahaska,3774,235,158,18
Henry,3722,301,119,4
Buchanan,3586,178,122,1
Fayette,3309,148,84,1
Floyd,3261,224,185,3
Jackson,3195,221,149,1
Winneshiek,3186,226,115,4
Hamilton,3166,287,242,2
Delaware,3145,241,178,3
Mills,3139,135,86,1
Jones,3098,176,135,2
Iowa,3097,120,94,1
Clay,3059,240,182,3
Hardin,3054,234,178,1
Cedar,2973,158,129,1
Madison,2855,167,120,2
Poweshiek,2830,186,164,8
Clayton,2757,186,160,3
Butler,2735,215,179,2
Union,2582,91,72,3
Kossuth,2572,123,84,0
Winnebago,2443,167,82,10
Allamakee,2407,184,149,5
Jefferson,2380,120,82,0
O'Brien,2354,210,132,8
Mitchell,2278,117,78,0
Grundy,2265,134,79,1
Page,2257,114,109,0
Franklin,2189,304,255,17
Hancock,2170,160,135,2
Guthrie,2154,174,134,5
Louisa,2137,398,363,14
Cass,2085,115,105,2
Sac,2044,123,85,0
Chickasaw,2018,115,83,0
Cherokee,2016,143,127,2
Harrison,2010,150,130,2
Appanoose,1990,89,69,3
Calhoun,1985,131,93,2
Shelby,1932,220,210,1
Clarke,1878,243,191,3
Humboldt,1838,152,95,2
Emmet,1822,225,191,8
Palo Alto,1729,119,81,0
Howard,1600,139,70,3
Montgomery,1595,80,68,5
Greene,1523,59,39,0
Pocahontas,1410,133,112,2
Monona,1368,108,92,1
Worth,1360,82,66,0
Lyon,1328,156,133,2
Keokuk,1301,70,32,1
Adair,1287,49,30,1
Lucas,1184,97,57,5
Decatur,1176,48,24,0
Ida,1127,47,29,0
Monroe,1084,116,64,8
Taylor,1038,114,102,1
Davis,1027,85,56,3
Van Buren,977,103,33,1
Ringgold,869,31,27,1
Fremont,867,61,37,0
Audubon,864,39,27,1
Osceola,759,99,83,0
Wayne,753,58,34,2
Adams,506,22,17,0
