County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID,PosTestRate14
Adair,2266,290,101,3,2020-11-09,2020,11,9,25,11,2,0,44,13365,0
Adams,936,105,60,1,2020-11-09,2020,11,9,14,2,1,0,14.2857142857143,13364,0
Allamakee,3685,521,288,9,2020-11-09,2020,11,9,62,28,1,0,45.1612903225807,13363,0
Appanoose,3618,452,189,3,2020-11-09,2020,11,9,111,53,3,0,47.7477477477478,13362,0
Audubon,1602,231,115,1,2020-11-09,2020,11,9,18,3,0,0,16.6666666666667,13361,0
Benton,7933,1073,410,6,2020-11-09,2020,11,9,223,111,3,0,49.7757847533632,13360,0
Black Hawk,45409,7846,4835,110,2020-11-09,2020,11,9,655,291,11,2,44.4274809160305,13359,0
Boone,8212,941,614,10,2020-11-09,2020,11,9,70,20,3,0,28.5714285714286,13358,0
Bremer,7180,1153,568,12,2020-11-09,2020,11,9,172,95,2,1,55.2325581395349,13357,0
Buchanan,5912,727,349,5,2020-11-09,2020,11,9,57,31,1,0,54.3859649122807,13356,0
Buena Vista,10828,2542,2135,13,2020-11-09,2020,11,9,50,24,1,0,48,13355,0
Butler,4393,612,430,3,2020-11-09,2020,11,9,94,57,0,0,60.6382978723404,13354,0
Calhoun,3704,701,323,5,2020-11-09,2020,11,9,60,52,12,0,86.6666666666667,13353,0
Carroll,7727,1517,916,14,2020-11-09,2020,11,9,80,53,6,0,66.25,13352,0
Cass,3972,588,371,10,2020-11-09,2020,11,9,20,6,7,0,30,13351,0
Cedar,5580,712,303,10,2020-11-09,2020,11,9,145,60,3,1,41.3793103448276,13350,0
Cerro Gordo,14962,2149,1158,31,2020-11-09,2020,11,9,237,121,0,1,51.0548523206751,13349,0
Cherokee,3674,547,334,3,2020-11-09,2020,11,9,41,22,2,0,53.6585365853659,13348,0
Chickasaw,3301,497,397,1,2020-11-09,2020,11,9,70,36,1,0,51.4285714285714,13347,0
Clarke,2958,402,288,4,2020-11-09,2020,11,9,29,6,1,1,20.6896551724138,13346,0
Clay,5117,750,429,4,2020-11-09,2020,11,9,72,40,2,0,55.5555555555556,13345,0
Clayton,4352,703,372,4,2020-11-09,2020,11,9,40,24,3,0,60,13344,0
Clinton,13277,2128,1263,31,2020-11-09,2020,11,9,307,172,1,1,56.0260586319218,13343,0
Crawford,6349,1516,1224,15,2020-11-09,2020,11,9,32,17,3,0,53.125,13342,0
Dallas,33401,4587,3080,51,2020-11-09,2020,11,9,560,231,6,0,41.25,13341,0
Davis,1822,267,142,4,2020-11-09,2020,11,9,26,8,1,0,30.7692307692308,13340,0
Decatur,2124,228,102,0,2020-11-09,2020,11,9,31,10,0,0,32.258064516129,13339,0
Delaware,5202,1054,583,18,2020-11-09,2020,11,9,41,25,6,2,60.9756097560976,13338,0
Des Moines,13316,2016,1019,13,2020-11-09,2020,11,9,71,21,5,0,29.5774647887324,13337,0
Dickinson,6772,972,627,9,2020-11-09,2020,11,9,86,25,1,0,29.0697674418605,13336,0
Dubuque,39215,6943,4213,73,2020-11-09,2020,11,9,395,161,24,4,40.7594936708861,13335,0
Emmet,3052,528,350,21,2020-11-09,2020,11,9,33,16,2,0,48.4848484848485,13334,0
Fayette,5538,635,292,6,2020-11-09,2020,11,9,138,64,2,0,46.3768115942029,13333,0
Floyd,4846,604,473,12,2020-11-09,2020,11,9,51,32,19,1,62.7450980392157,13332,0
Franklin,3158,491,370,19,2020-11-09,2020,11,9,74,24,5,0,32.4324324324324,13331,0
Fremont,1681,258,169,2,2020-11-09,2020,11,9,10,5,3,0,50,13330,0
Greene,2713,303,153,0,2020-11-09,2020,11,9,35,22,0,0,62.8571428571429,13329,0
Grundy,3591,508,253,6,2020-11-09,2020,11,9,65,35,1,0,53.8461538461539,13328,0
Guthrie,3573,534,325,15,2020-11-09,2020,11,9,78,31,1,0,39.7435897435897,13327,0
Hamilton,4642,616,484,6,2020-11-09,2020,11,9,45,35,12,0,77.7777777777778,13326,0
Hancock,3563,543,302,6,2020-11-09,2020,11,9,64,14,8,0,21.875,13325,0
Hardin,5149,720,380,8,2020-11-09,2020,11,9,102,44,11,0,43.1372549019608,13324,0
Harrison,4088,834,486,21,2020-11-09,2020,11,9,41,17,1,0,41.4634146341463,13323,0
Henry,6869,1345,918,7,2020-11-09,2020,11,9,72,26,3,1,36.1111111111111,13322,0
Howard,2647,337,210,9,2020-11-09,2020,11,9,46,12,1,0,26.0869565217391,13321,0
Humboldt,3119,506,281,3,2020-11-09,2020,11,9,53,42,0,0,79.2452830188679,13320,0
Ida,2010,325,164,4,2020-11-09,2020,11,9,25,14,0,1,56,13319,0
Iowa,5249,633,315,11,2020-11-09,2020,11,9,100,40,3,0,40,13318,0
Jackson,5670,1028,455,5,2020-11-09,2020,11,9,66,32,0,0,48.4848484848485,13317,0
Jasper,10850,1607,943,34,2020-11-09,2020,11,9,180,77,8,0,42.7777777777778,13316,0
Jefferson,4071,366,171,1,2020-11-09,2020,11,9,82,13,0,0,15.8536585365854,13315,0
Johnson,50886,7335,5445,33,2020-11-09,2020,11,9,1079,407,16,0,37.7201112140871,13314,0
Jones,6399,1458,357,4,2020-11-09,2020,11,9,154,116,3,0,75.3246753246753,13313,0
Keokuk,2439,330,132,1,2020-11-09,2020,11,9,51,26,0,0,50.9803921568627,13312,0
Kossuth,4737,652,378,1,2020-11-09,2020,11,9,64,41,0,0,64.0625,13311,0
Lee,9534,1373,768,14,2020-11-09,2020,11,9,103,46,4,0,44.6601941747573,13310,0
Linn,72914,9439,4575,141,2020-11-09,2020,11,9,1919,820,16,1,42.7305888483585,13309,0
Louisa,3500,641,450,15,2020-11-09,2020,11,9,47,17,2,0,36.1702127659575,13308,0
Lucas,2217,258,161,6,2020-11-09,2020,11,9,35,12,0,0,34.2857142857143,13307,0
Lyon,2748,687,469,8,2020-11-09,2020,11,9,65,45,0,0,69.2307692307692,13306,0
Madison,4546,482,314,4,2020-11-09,2020,11,9,60,26,1,0,43.3333333333333,13305,0
Mahaska,6571,955,518,26,2020-11-09,2020,11,9,94,48,4,0,51.0638297872341,13304,0
Marion,9259,1417,1000,13,2020-11-09,2020,11,9,162,60,1,0,37.037037037037,13303,0
Marshall,13908,2642,1839,37,2020-11-09,2020,11,9,135,67,3,0,49.6296296296296,13302,0
Mills,4970,640,286,3,2020-11-09,2020,11,9,65,34,1,0,52.3076923076923,13301,0
Mitchell,3534,448,211,2,2020-11-09,2020,11,9,45,27,0,0,60,13300,0
Monona,2429,300,210,2,2020-11-09,2020,11,9,11,3,0,0,27.2727272727273,13299,0
Monroe,1916,322,183,12,2020-11-09,2020,11,9,19,3,0,0,15.7894736842105,13298,0
Montgomery,2581,283,202,7,2020-11-09,2020,11,9,23,16,0,0,69.5652173913044,13297,0
Muscatine,13083,1952,1183,60,2020-11-09,2020,11,9,325,112,5,0,34.4615384615385,13296,0
O'Brien,4288,982,513,19,2020-11-09,2020,11,9,73,33,4,1,45.2054794520548,13295,0
Osceola,1535,371,223,0,2020-11-09,2020,11,9,41,20,1,0,48.7804878048781,13294,0
Page,3893,690,415,1,2020-11-09,2020,11,9,13,8,7,0,61.5384615384615,13293,0
Palo Alto,2861,425,263,3,2020-11-09,2020,11,9,48,19,0,1,39.5833333333333,13292,0
Plymouth,8904,2138,1360,34,2020-11-09,2020,11,9,75,44,3,0,58.6666666666667,13291,0
