EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,20342,3714,1492,108
Woodbury,9866,2555,1275,24
Black Hawk,8247,1676,968,39
Linn,8023,927,764,75
Johnson,6292,598,336,7
Scott,5486,331,284,9
Dubuque,4425,319,147,16
Dallas,4230,849,512,14
Marshall,3271,866,453,11
Muscatine,2823,543,356,39
Pottawattamie,2676,210,114,6
Cerro Gordo,2219,22,14,1
Story,1966,94,69,1
Wapello,1959,500,154,4
Jasper,1750,256,190,16
Crawford,1680,477,262,2
Warren,1676,106,72,0
Buena Vista,1604,231,35,0
Boone,1385,54,25,0
Tama,1381,390,223,23
Clinton,1328,60,55,1
Washington,1302,179,136,8
Webster,1301,27,10,1
Wright,1042,117,13,0
Louisa,1010,334,213,7
Plymouth,917,108,71,0
Sioux,909,199,97,0
Hamilton,892,26,9,0
Mills,885,14,11,0
Benton,829,37,31,1
Des Moines,785,53,30,1
Cedar,770,45,40,1
Marion,765,29,19,0
Allamakee,718,118,86,4
Bremer,709,67,54,6
Floyd,686,18,9,1
Fayette,684,26,25,0
Winneshiek,645,21,18,0
Jones,638,36,34,0
Buchanan,624,31,23,0
Iowa,611,32,30,0
Henry,604,61,42,1
Mahaska,557,52,18,6
Lee,544,22,17,0
Clayton,541,30,24,3
Poweshiek,524,88,69,8
Franklin,515,8,5,0
Carroll,512,9,7,0
Delaware,495,14,12,0
Page,482,10,9,0
Butler,463,15,12,0
Jackson,461,11,8,0
Hardin,449,13,9,0
Madison,426,24,11,1
Hancock,411,12,4,0
Sac,397,13,4,0
Grundy,389,19,12,0
Guthrie,385,43,29,3
Harrison,376,19,17,0
O'Brien,368,24,14,0
Cherokee,348,15,8,0
Clarke,346,32,11,0
Union,341,6,1,0
Cass,335,11,1,0
Kossuth,331,7,2,0
Clay,324,10,9,0
Jefferson,323,15,10,0
Chickasaw,321,8,7,0
Mitchell,317,4,4,0
Winnebago,310,10,7,0
Appanoose,307,12,3,3
Monona,305,23,13,0
Greene,298,13,14,0
Keokuk,295,13,11,0
Howard,292,12,10,0
Dickinson,281,8,6,0
Humboldt,277,13,7,0
Shelby,271,31,24,0
Worth,259,3,3,0
Pending Investigation,256,3,1,0
Calhoun,253,2,1,0
Lyon,241,19,18,0
Emmet,237,7,1,0
Monroe,237,33,8,4
Montgomery,232,6,5,0
Ida,222,10,6,0
Taylor,218,37,1,0
Davis,213,20,10,0
Audubon,194,11,9,1
Decatur,191,0,0,0
Adair,182,8,3,0
Pocahontas,181,4,2,0
Osceola,171,32,24,0
Lucas,171,6,1,0
Van Buren,144,8,8,0
Palo Alto,143,3,1,0
Ringgold,126,4,0,0
Fremont,119,4,2,0
Wayne,101,1,1,0
Adams,90,5,1,0
