County,IndTested,IndPositive,IndRec,Deaths,Date,Year,Month,Day,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
Adair,376,12,11,0,2020-06-23,2020,6,23,6,0,0,0,0,297
Adams,216,7,5,0,2020-06-23,2020,6,23,1,0,0,0,0,296
Allamakee,1121,122,90,4,2020-06-23,2020,6,23,12,1,0,0,8.33333333333333,295
Appanoose,748,20,14,3,2020-06-23,2020,6,23,30,0,0,0,0,294
Audubon,305,15,11,1,2020-06-23,2020,6,23,0,0,0,0,,293
Benton,1646,52,42,1,2020-06-23,2020,6,23,22,0,0,0,0,292
Black Hawk,13241,1904,1173,56,2020-06-23,2020,6,23,176,7,10,0,3.97727272727273,291
Boone,2258,115,75,1,2020-06-23,2020,6,23,29,0,7,0,0,290
Bremer,1992,82,69,6,2020-06-23,2020,6,23,23,0,1,0,0,289
Buchanan,1461,38,31,1,2020-06-23,2020,6,23,34,0,0,0,0,288
Buena Vista,6708,1670,531,10,2020-06-23,2020,6,23,12,2,30,0,16.6666666666667,287
Butler,1294,36,25,2,2020-06-23,2020,6,23,26,1,0,0,3.84615384615385,286
Calhoun,841,26,18,0,2020-06-23,2020,6,23,42,1,2,0,2.38095238095238,285
Carroll,1554,69,45,1,2020-06-23,2020,6,23,28,0,10,0,0,284
Cass,691,16,15,0,2020-06-23,2020,6,23,7,0,0,0,0,283
Cedar,1376,61,50,1,2020-06-23,2020,6,23,11,0,0,0,0,282
Cerro Gordo,3809,62,28,1,2020-06-23,2020,6,23,51,1,0,0,1.96078431372549,281
Cherokee,900,68,55,0,2020-06-23,2020,6,23,10,2,0,0,20,280
Chickasaw,864,20,15,0,2020-06-23,2020,6,23,16,0,0,0,0,279
Clarke,890,111,68,2,2020-06-23,2020,6,23,14,0,1,0,0,278
Clay,1314,109,54,0,2020-06-23,2020,6,23,41,4,14,0,9.75609756097561,277
Clayton,1192,35,31,3,2020-06-23,2020,6,23,39,0,0,0,0,276
Clinton,2660,75,66,1,2020-06-23,2020,6,23,30,0,1,0,0,275
Crawford,2669,642,380,2,2020-06-23,2020,6,23,16,1,4,0,6.25,274
Dallas,8348,1082,696,29,2020-06-23,2020,6,23,90,3,3,0,3.33333333333333,273
Davis,518,36,24,1,2020-06-23,2020,6,23,5,0,0,0,0,272
Decatur,402,9,7,0,2020-06-23,2020,6,23,18,0,0,0,0,271
Delaware,1075,34,27,1,2020-06-23,2020,6,23,23,1,1,0,4.34782608695652,270
Des Moines,2308,78,62,2,2020-06-23,2020,6,23,7,0,0,0,0,269
Dickinson,1406,212,87,2,2020-06-23,2020,6,23,20,7,1,0,35,268
Dubuque,7922,454,245,22,2020-06-23,2020,6,23,245,33,3,0,13.469387755102,267
Emmet,689,61,30,0,2020-06-23,2020,6,23,18,3,0,0,16.6666666666667,266
Fayette,1509,30,28,0,2020-06-23,2020,6,23,204,1,0,0,0.490196078431373,265
Floyd,1429,43,21,1,2020-06-23,2020,6,23,43,6,1,0,13.953488372093,264
