Date,Year,Month,Day,TotalIndTested,TotalIndPositive,TotalIndRec,TotalDeaths,NewIndTested,NewIndPositive,NewIndRec,NewDeaths,PosTestRate,ID
2020-08-07,2020,8,7,505698,47894,36361,915,5734,539,766,3,9.40006975933031,48
2020-08-06,2020,8,6,499964,47358,35595,912,6727,695,794,13,10.3314999256727,47
2020-08-05,2020,8,5,493237,46665,34801,899,6061,613,757,11,10.113842600231,46
2020-08-04,2020,8,4,487176,46054,34044,888,3990,213,762,4,5.33834586466165,45
2020-08-03,2020,8,3,483186,45845,33282,884,1585,192,321,8,12.1135646687697,44
2020-08-02,2020,8,2,481601,45661,32961,876,2947,375,123,5,12.7248048863251,43
2020-08-01,2020,8,1,478654,45289,32838,871,5299,548,240,4,10.3415738818645,42
2020-07-31,2020,7,31,473355,44748,32598,867,6865,664,713,10,9.67225054624909,41
2020-07-30,2020,7,30,466490,44087,31885,857,3388,513,625,8,15.1416765053129,40
2020-07-29,2020,7,29,463102,43577,31260,849,8768,781,604,10,8.90739051094891,39
2020-07-28,2020,7,28,454334,42799,30656,839,1151,132,723,5,11.4682884448306,38
2020-07-27,2020,7,27,453183,42672,29933,834,3203,323,307,6,10.0842959725258,37
2020-07-26,2020,7,26,449980,42356,29626,828,6039,652,142,2,10.79648949,36
2020-07-25,2020,7,25,443941,41707,29484,826,3738,333,244,1,8.908507223,35
2020-07-24,2020,7,24,440203,41379,29240,825,6245,663,284,5,10.61649319,34
2020-07-23,2020,7,23,433958,40722,28956,820,6921,587,273,8,8.481433319,33
2020-07-22,2020,7,22,427037,40136,28683,812,7026,568,270,9,8.084258469,32
2020-07-21,2020,7,21,420011,39569,28413,803,4436,346,351,6,7.799819657,31
2020-07-20,2020,7,20,415575,39232,28062,797,2407,504,169,4,20.93892813,30
2020-07-19,2020,7,19,413168,38731,27893,793,7941,501,72,4,6.30902909,29
2020-07-18,2020,7,18,405227,38232,27821,789,5564,365,191,4,6.560028756,28
2020-07-17,2020,7,17,399663,37869,27630,785,5948,563,211,4,9.46536651,27
2020-07-16,2020,7,16,393715,37306,27419,781,9048,938,202,9,10.36693192,26
2020-07-15,2020,7,15,384667,36369,27217,772,6791,542,236,15,7.981151524,25
2020-07-14,2020,7,14,377876,35828,26981,757,330,61,99,2,18.48484848,24
2020-07-13,2020,7,13,377546,35785,26882,755,5576,458,647,5,8.213773314,23
2020-07-12,2020,7,12,371970,35328,26235,750,6019,706,122,2,11.72952318,22
2020-07-11,2020,7,11,365951,34623,26113,748,6357,478,176,5,7.519270096,21
2020-07-10,2020,7,10,359594,34145,25937,743,7604,920,362,2,12.09889532,20
2020-07-09,2020,7,9,351990,33226,25575,741,8197,623,-553,5,7.600341588,19
2020-07-08,2020,7,8,343793,32604,26128,736,6935,570,399,8,8.219178082,18
2020-07-07,2020,7,7,336858,32036,25729,728,3862,349,427,5,9.036768514,17
2020-07-06,2020,7,6,332996,31697,25302,723,2876,252,468,2,8.76216968,16
2020-07-05,2020,7,5,330120,31459,24834,721,3193,414,217,0,12.96586282,15
2020-07-04,2020,7,4,326927,31045,24617,721,7157,589,231,0,8.229705184,14
2020-07-03,2020,7,3,319770,30456,24386,721,3404,206,277,2,6.051703878,13
2020-07-02,2020,7,2,316366,30252,24109,719,8661,752,452,2,8.682600162,12
2020-07-01,2020,7,1,307705,29500,23657,717,1532,218,215,0,14.22976501,11
2020-06-30,2020,6,30,306173,29288,23442,717,7250,477,575,6,6.579310345,10
2020-06-29,2020,6,29,298923,28815,22867,711,4397,310,5182,5,7.050261542,9
2020-06-28,2020,6,28,294526,28509,17685,706,6494,447,168,2,6.883276871,8
2020-06-27,2020,6,27,288032,28063,17517,704,1933,135,108,0,6.983962752,7
2020-06-26,2020,6,26,286099,27929,17409,704,8518,569,277,8,6.679971824,6
2020-06-25,2020,6,25,277581,27364,17132,696,9151,629,220,3,6.873565731,5
2020-06-24,2020,6,24,268430,26740,16912,693,5174,348,199,4,6.725937379,4
2020-06-23,2020,6,23,263256,26392,16713,689,3662,245,326,3,6.690333151,3
2020-06-22,2020,6,22,259594,26149,16387,686,3703,199,319,1,5.374021064,2
2020-06-21,2020,6,21,255891,25958,16068,685,0,0,0,0,0,1
